Task: 1, Test Name: Search icon is displayed, DOM Id: I__headericon__44, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Filters facets are hidden, DOM Id: filter_col, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Header navigation is hidden, DOM Id: DIV__mainmenu__15, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account link is displayed, DOM Id: DIV__dropdowndr__55, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Search field is displayed, DOM Id: INPUTtext____42, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Quick links' footer category is displayed, DOM Id: H3__opened__422, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Search placeholder text is equal to 'Search over 10,000 shoes!', DOM Id: INPUTtext____42, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Wish list link is hidden, DOM Id: A__wishlist__52, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Search icon is displayed, DOM Id: I__headericon__44, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Contacts' footer category is displayed, DOM Id: H3____438, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Shopping cart link is displayed, DOM Id: DIV__dropdowndr__48, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account link is displayed, DOM Id: DIV__dropdowndr__55, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Keep in touch' footer category is displayed, DOM Id: H3____448, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Wish list link is hidden, DOM Id: A__wishlist__52, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Shopping cart counter is displayed, DOM Id: STRONG____50, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Quick links section is displayed, DOM Id: collapse_1, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Shopping cart link is displayed, DOM Id: DIV__dropdowndr__48, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Shopping cart counter text is equal to '2', DOM Id: STRONG____50, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Shopping cart counter is displayed, DOM Id: STRONG____50, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Contacts section is displayed, DOM Id: collapse_3, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Shopping cart counter text is equal to '2', DOM Id: STRONG____50, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Sort select is displayed, DOM Id: sort, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Sort select is displayed, DOM Id: sort, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Newsletter section is displayed, DOM Id: collapse_4, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Default sort type is 'Sort by popularity', DOM Id: sort, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Filters' icon is displayed, DOM Id: ti-filter, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: List view toggle is hidden, DOM Id: I__tiviewlist__205, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Default sort type is 'Sort by popularity', DOM Id: sort, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Grid view toggle is hidden, DOM Id: I__tiviewgrid__203, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 0 product, DOM Id: I__tiheart__226, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: List view toggle is hidden, DOM Id: I__tiviewlist__205, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 0 product, DOM Id: I__ticontrols__230, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: 'Filters' label is displayed, DOM Id: SPAN____209, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Grid view toggle is hidden, DOM Id: I__tiviewgrid__203, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 0 product, DOM Id: I__tishopping__234, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters facets are hidden, DOM Id: filter_col, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Filters' label is displayed, DOM Id: SPAN____209, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Wish list button is displayed for 1 product, DOM Id: I__tiheart__251, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: 'Quick links' footer category is displayed, DOM Id: H3__opened__422, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Contacts' footer category is displayed, DOM Id: H3____438, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Add to compare button is displayed for 1 product, DOM Id: I__ticontrols__255, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters facets are hidden, DOM Id: filter_col, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Keep in touch' footer category is displayed, DOM Id: H3____448, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Add to cart button is displayed for 1 product, DOM Id: I__tishopping__259, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Quick links section is displayed, DOM Id: collapse_1, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Quick links' footer category is displayed, DOM Id: H3__opened__422, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Contacts section is displayed, DOM Id: collapse_3, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Wish list button is displayed for 2 product, DOM Id: I__tiheart__273, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Newsletter section is displayed, DOM Id: collapse_4, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Contacts' footer category is displayed, DOM Id: H3____438, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Add to compare button is displayed for 2 product, DOM Id: I__ticontrols__277, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: 'Filters' icon is displayed, DOM Id: ti-filter, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Keep in touch' footer category is displayed, DOM Id: H3____448, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Wish list button is displayed for 0 product, DOM Id: I__tiheart__226, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 2 product, DOM Id: I__tishopping__281, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Quick links section is displayed, DOM Id: collapse_1, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Add to compare button is displayed for 0 product, DOM Id: I__ticontrols__230, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 0 product, DOM Id: I__tishopping__234, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Contacts section is displayed, DOM Id: collapse_3, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Wish list button is displayed for 1 product, DOM Id: I__tiheart__251, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 3 product, DOM Id: I__tiheart__295, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 1 product, DOM Id: I__ticontrols__255, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Newsletter section is displayed, DOM Id: collapse_4, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Add to cart button is displayed for 1 product, DOM Id: I__tishopping__259, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 3 product, DOM Id: I__ticontrols__299, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 2 product, DOM Id: I__tiheart__273, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 2 product, DOM Id: I__ticontrols__277, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: 'Filters' icon is displayed, DOM Id: ti-filter, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Add to cart button is displayed for 3 product, DOM Id: I__tishopping__303, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 2 product, DOM Id: I__tishopping__281, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 4 product, DOM Id: I__tiheart__317, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 3 product, DOM Id: I__tiheart__295, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 0 product, DOM Id: I__tiheart__226, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 3 product, DOM Id: I__ticontrols__299, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 4 product, DOM Id: I__ticontrols__321, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 0 product, DOM Id: I__ticontrols__230, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 3 product, DOM Id: I__tishopping__303, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 4 product, DOM Id: I__tiheart__317, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 4 product, DOM Id: I__tishopping__325, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 0 product, DOM Id: I__tishopping__234, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 4 product, DOM Id: I__ticontrols__321, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 5 product, DOM Id: I__tiheart__339, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 1 product, DOM Id: I__tiheart__251, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 4 product, DOM Id: I__tishopping__325, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 5 product, DOM Id: I__tiheart__339, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 5 product, DOM Id: I__ticontrols__343, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 1 product, DOM Id: I__ticontrols__255, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 5 product, DOM Id: I__ticontrols__343, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 5 product, DOM Id: I__tishopping__347, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 5 product, DOM Id: I__tishopping__347, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 1 product, DOM Id: I__tishopping__259, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 6 product, DOM Id: I__tiheart__361, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 6 product, DOM Id: I__tiheart__361, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 2 product, DOM Id: I__tiheart__273, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 6 product, DOM Id: I__ticontrols__365, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 6 product, DOM Id: I__ticontrols__365, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 6 product, DOM Id: I__tishopping__369, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 2 product, DOM Id: I__ticontrols__277, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 7 product, DOM Id: I__tiheart__386, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 6 product, DOM Id: I__tishopping__369, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 7 product, DOM Id: I__ticontrols__390, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 2 product, DOM Id: I__tishopping__281, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 7 product, DOM Id: I__tishopping__394, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 7 product, DOM Id: I__tiheart__386, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 3 product, DOM Id: I__tiheart__295, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 8 product, DOM Id: I__tiheart__408, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 8 product, DOM Id: I__ticontrols__412, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 7 product, DOM Id: I__ticontrols__390, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 3 product, DOM Id: I__ticontrols__299, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 8 product, DOM Id: I__tishopping__416, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 7 product, DOM Id: I__tishopping__394, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 3 product, DOM Id: I__tishopping__303, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 8 product, DOM Id: I__tiheart__408, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 4 product, DOM Id: I__tiheart__317, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 8 product, DOM Id: I__ticontrols__412, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 4 product, DOM Id: I__ticontrols__321, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 4 product, DOM Id: I__tishopping__325, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 8 product, DOM Id: I__tishopping__416, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 5 product, DOM Id: I__tiheart__339, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 5 product, DOM Id: I__ticontrols__343, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 5 product, DOM Id: I__tishopping__347, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 6 product, DOM Id: I__tiheart__361, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 6 product, DOM Id: I__ticontrols__365, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 6 product, DOM Id: I__tishopping__369, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 7 product, DOM Id: I__tiheart__386, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 7 product, DOM Id: I__ticontrols__390, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 7 product, DOM Id: I__tishopping__394, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 8 product, DOM Id: I__tiheart__408, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 8 product, DOM Id: I__ticontrols__412, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 8 product, DOM Id: I__tishopping__416, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Site logo is displayed, DOM Id: IMG____9, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Header navigation menu should be displayed, DOM Id: DIV__mainmenu__15, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Header navigation is hidden, DOM Id: DIV__mainmenu__15, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Search field is displayed, DOM Id: INPUTtext____42, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Search icon is displayed, DOM Id: A__btnsearchm__59, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Account link is displayed, DOM Id: DIV__dropdowndr__55, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Wish list link is hidden, DOM Id: A__wishlist__52, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Shopping cart link is displayed, DOM Id: DIV__dropdowndr__48, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Shopping cart counter is hidden, DOM Id: STRONG____50, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Sort select is displayed, DOM Id: sort, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Default sort type is 'Sort by popularity', DOM Id: sort, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: List view toggle is hidden, DOM Id: I__tiviewlist__205, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Grid view toggle is hidden, DOM Id: I__tiviewgrid__203, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: 'Filters' label is hidden, DOM Id: SPAN____209, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Filters facets are hidden, DOM Id: filter_col, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: 'Quick links' footer category is displayed, DOM Id: H3__opened__422, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: 'Contacts' footer category is displayed, DOM Id: H3____438, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: 'Keep in touch' footer category is displayed, DOM Id: H3____448, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Quick links section is hidden, DOM Id: collapse_1, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Contacts section is hidden, DOM Id: collapse_3, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Newsletter section is hidden, DOM Id: collapse_4, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Desktop search icon is hidden on mobile, DOM Id: I__headericon__44, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: 'Filters' icon is displayed, DOM Id: ti-filter, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Wish list button is displayed for 0 product, DOM Id: I__tiheart__226, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 0 product, DOM Id: I__ticontrols__230, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 0 product, DOM Id: I__tishopping__234, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 1 product, DOM Id: I__tiheart__251, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 1 product, DOM Id: I__ticontrols__255, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 1 product, DOM Id: I__tishopping__259, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 2 product, DOM Id: I__tiheart__273, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 2 product, DOM Id: I__ticontrols__277, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 2 product, DOM Id: I__tishopping__281, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 3 product, DOM Id: I__tiheart__295, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 3 product, DOM Id: I__ticontrols__299, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 3 product, DOM Id: I__tishopping__303, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 4 product, DOM Id: I__tiheart__317, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 4 product, DOM Id: I__ticontrols__321, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 4 product, DOM Id: I__tishopping__325, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 5 product, DOM Id: I__tiheart__339, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 5 product, DOM Id: I__ticontrols__343, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 5 product, DOM Id: I__tishopping__347, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 6 product, DOM Id: I__tiheart__361, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 6 product, DOM Id: I__ticontrols__365, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 6 product, DOM Id: I__tishopping__369, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 7 product, DOM Id: I__tiheart__386, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 7 product, DOM Id: I__ticontrols__390, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 7 product, DOM Id: I__tishopping__394, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Wish list button is displayed for 8 product, DOM Id: I__tiheart__408, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to compare button is displayed for 8 product, DOM Id: I__ticontrols__412, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 1, Test Name: Add to cart button is displayed for 8 product, DOM Id: I__tishopping__416, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Fail
Task: 2, Test Name: Filtering by 'Black' color returns 2 black shoes, DOM Id: product_grid, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Fail
Task: 2, Test Name: Filtering by 'Black' color returns 2 black shoes, DOM Id: product_grid, Browser: Edge, Viewport: 1200 x 700, Device: Laptop, Status: Fail
Task: 2, Test Name: Filtering by 'Black' color returns 2 black shoes, DOM Id: product_grid, Browser: Firefox, Viewport: 1200 x 700, Device: Laptop, Status: Fail
Task: 2, Test Name: Filtering by 'Black' color returns 2 black shoes, DOM Id: product_grid, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
